epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.63274,1.33152,3.44895,1.38224,0.04237,0.92308,0.28562,0.25796,0.88477,3.40473,1.3749,6.666e-05,6.666e-05,6.666e-05
2,17.563,0.66416,3.065,1.02302,0.0303,1,0.55655,0.48461,0.51319,3.30469,1.0431,0.000143,0.000143,0.000143
3,25.4763,0.53633,2.5787,0.9723,0.01798,1,0.61486,0.57327,0.37687,3.12107,0.95984,0.0002178,0.0002178,0.0002178
4,33.6616,0.50193,2.1626,0.94938,0.02228,1,0.71515,0.65501,0.43848,2.64123,0.94114,0.000291061,0.000291061,0.000291061
5,41.7362,0.43973,1.77441,0.89891,0.52113,0.68264,0.62491,0.56991,0.43027,2.43153,0.90586,0.000362781,0.000362781,0.000362781
6,50.466,0.45417,1.56719,0.92559,0.63923,0.83077,0.76673,0.70565,0.41632,2.10445,0.90245,0.000432962,0.000432962,0.000432962
7,58.9998,0.47991,1.46411,0.89062,0.67728,0.96923,0.78012,0.73213,0.39866,1.82768,0.89009,0.000501603,0.000501603,0.000501603
8,67.3914,0.44306,1.37394,0.88958,0.67631,0.98264,0.94989,0.90141,0.36563,1.53831,0.89713,0.000568704,0.000568704,0.000568704
9,75.4755,0.41364,1.2861,0.8964,0.81807,0.96991,0.98284,0.93696,0.37137,1.31229,0.89081,0.000634265,0.000634265,0.000634265
10,83.7027,0.42898,1.27399,0.88705,0.96241,0.98196,0.9919,0.93478,0.37184,1.15358,0.88916,0.000698287,0.000698287,0.000698287
11,92.1564,0.4201,1.18311,0.89343,0.9706,1,0.995,0.93029,0.37972,0.96455,0.88738,0.000760768,0.000760768,0.000760768
12,100.363,0.41503,1.08595,0.87671,0.98796,1,0.995,0.93251,0.37113,0.85093,0.89667,0.00082171,0.00082171,0.00082171
13,108.855,0.41331,1.08418,0.89354,0.96003,0.972,0.995,0.90959,0.38812,0.98084,0.90683,0.000881112,0.000881112,0.000881112
14,117.109,0.40116,0.94693,0.87842,0.96003,0.972,0.995,0.90959,0.38812,0.98084,0.90683,0.000938974,0.000938974,0.000938974
15,125.905,0.39914,0.91186,0.86362,0.98005,1,0.995,0.92203,0.38722,0.89512,0.88576,0.000957015,0.000957015,0.000957015
16,134.853,0.39644,0.91231,0.87764,0.92918,0.97612,0.995,0.91798,0.39013,0.97033,0.88576,0.000946016,0.000946016,0.000946016
17,143.69,0.3887,0.88583,0.8564,0.86436,0.92308,0.94863,0.88389,0.36082,1.62585,0.88477,0.000935018,0.000935018,0.000935018
18,152.989,0.37261,0.90539,0.87595,0.84054,0.8,0.84354,0.78671,0.38281,2.26741,0.89239,0.000924019,0.000924019,0.000924019
19,161.754,0.36115,0.90593,0.86614,0.97505,0.98643,0.995,0.94392,0.37026,0.82821,0.89809,0.00091302,0.00091302,0.00091302
20,170.339,0.36925,0.86627,0.87775,0.97402,1,0.995,0.94742,0.34464,0.80783,0.88031,0.000902021,0.000902021,0.000902021
21,179.389,0.36979,0.86422,0.85997,0.98286,1,0.995,0.9499,0.34247,0.82869,0.87171,0.000891022,0.000891022,0.000891022
22,187.708,0.37278,0.83206,0.85522,0.98286,1,0.995,0.9499,0.34247,0.82869,0.87171,0.000880023,0.000880023,0.000880023
23,196.544,0.35037,0.85115,0.88518,0.9933,1,0.995,0.95409,0.34087,0.70181,0.86948,0.000869024,0.000869024,0.000869024
24,205.093,0.34408,0.77283,0.85375,0.98927,1,0.995,0.95114,0.34036,0.72753,0.87484,0.000858025,0.000858025,0.000858025
25,213.475,0.36177,0.79324,0.87684,0.97863,0.99665,0.995,0.94835,0.35106,0.74038,0.88348,0.000847026,0.000847026,0.000847026
26,222.157,0.35757,0.78588,0.86702,0.98586,1,0.995,0.94295,0.36093,0.74031,0.89083,0.000836027,0.000836027,0.000836027
27,230.931,0.36661,0.75006,0.87087,0.99236,1,0.995,0.94654,0.34522,0.74306,0.87305,0.000825029,0.000825029,0.000825029
28,239.641,0.35689,0.73852,0.86363,0.99462,1,0.995,0.94629,0.3568,0.70629,0.87894,0.00081403,0.00081403,0.00081403
29,247.942,0.35101,0.70152,0.85591,0.98737,1,0.995,0.92565,0.38296,0.68513,0.90219,0.000803031,0.000803031,0.000803031
30,255.987,0.34575,0.69545,0.86154,0.98737,1,0.995,0.92565,0.38296,0.68513,0.90219,0.000792032,0.000792032,0.000792032
31,264.383,0.33967,0.70197,0.85673,0.98709,1,0.995,0.92999,0.38462,0.64866,0.90541,0.000781033,0.000781033,0.000781033
32,272.861,0.33473,0.63944,0.84035,0.99388,1,0.995,0.94851,0.33197,0.63186,0.88336,0.000770034,0.000770034,0.000770034
33,281.157,0.32932,0.64412,0.85078,0.99127,1,0.995,0.94508,0.31503,0.64849,0.86782,0.000759035,0.000759035,0.000759035
34,289.589,0.33475,0.63231,0.85249,0.99088,1,0.995,0.95159,0.31147,0.65114,0.86769,0.000748036,0.000748036,0.000748036
35,298.633,0.33733,0.59541,0.84522,0.99367,1,0.995,0.95655,0.32316,0.62937,0.8663,0.000737037,0.000737037,0.000737037
36,307.872,0.32753,0.63574,0.85128,0.99515,1,0.995,0.94472,0.33056,0.64145,0.85868,0.000726038,0.000726038,0.000726038
37,317.468,0.3138,0.64104,0.85182,0.99293,1,0.995,0.9437,0.32648,0.6437,0.85583,0.00071504,0.00071504,0.00071504
38,325.553,0.33006,0.62192,0.85666,0.99293,1,0.995,0.9437,0.32648,0.6437,0.85583,0.000704041,0.000704041,0.000704041
39,334.445,0.32688,0.64976,0.8533,0.99153,1,0.995,0.94686,0.32041,0.62687,0.85343,0.000693042,0.000693042,0.000693042
40,343.593,0.31266,0.62306,0.84115,0.99287,1,0.995,0.95603,0.30422,0.60647,0.84476,0.000682043,0.000682043,0.000682043
41,352.701,0.31943,0.62175,0.8381,0.99508,1,0.995,0.95407,0.30877,0.58994,0.8431,0.000671044,0.000671044,0.000671044
42,361.959,0.30056,0.6101,0.83667,0.99595,1,0.995,0.95619,0.30986,0.59489,0.84437,0.000660045,0.000660045,0.000660045
43,371.102,0.31327,0.60334,0.85176,0.99545,1,0.995,0.96158,0.31024,0.61354,0.83935,0.000649046,0.000649046,0.000649046
44,380.215,0.31467,0.56701,0.84538,0.99395,1,0.995,0.95899,0.3161,0.61012,0.84039,0.000638047,0.000638047,0.000638047
45,389.155,0.30997,0.56655,0.82576,0.99163,1,0.995,0.9579,0.29728,0.59602,0.84154,0.000627048,0.000627048,0.000627048
46,397.365,0.28937,0.54784,0.83154,0.99163,1,0.995,0.9579,0.29728,0.59602,0.84154,0.000616049,0.000616049,0.000616049
47,406.243,0.30298,0.57015,0.84135,0.99306,1,0.995,0.96492,0.29543,0.59928,0.84755,0.000605051,0.000605051,0.000605051
48,415.71,0.3045,0.55637,0.84295,0.99413,1,0.995,0.96376,0.29351,0.60021,0.84474,0.000594052,0.000594052,0.000594052
49,423.967,0.29138,0.5824,0.85133,0.99477,1,0.995,0.97214,0.29381,0.59986,0.84338,0.000583053,0.000583053,0.000583053
50,432.363,0.29627,0.56898,0.83931,0.99487,1,0.995,0.97095,0.29919,0.5837,0.84492,0.000572054,0.000572054,0.000572054
51,441.613,0.28142,0.51208,0.81182,0.99481,1,0.995,0.97021,0.295,0.5606,0.84094,0.000561055,0.000561055,0.000561055
52,451.403,0.28069,0.52001,0.82834,0.9946,1,0.995,0.96681,0.28864,0.543,0.83881,0.000550056,0.000550056,0.000550056
53,460.997,0.27099,0.51949,0.82965,0.99406,1,0.995,0.96238,0.3072,0.54099,0.84863,0.000539057,0.000539057,0.000539057
54,469.752,0.30148,0.51601,0.82237,0.99406,1,0.995,0.96238,0.3072,0.54099,0.84863,0.000528058,0.000528058,0.000528058
55,478.627,0.28115,0.50356,0.8302,0.9938,1,0.995,0.9537,0.31576,0.54459,0.85637,0.000517059,0.000517059,0.000517059
56,487.363,0.29211,0.48981,0.82063,0.99397,1,0.995,0.96314,0.30004,0.53318,0.84781,0.00050606,0.00050606,0.00050606
57,495.764,0.28956,0.49762,0.83085,0.9945,1,0.995,0.96699,0.29491,0.52228,0.84664,0.000495062,0.000495062,0.000495062
58,505.263,0.27911,0.53792,0.83364,0.99452,1,0.995,0.95763,0.30034,0.51367,0.8491,0.000484063,0.000484063,0.000484063
59,514.559,0.27784,0.48536,0.83622,0.99318,1,0.995,0.95372,0.28986,0.51389,0.84284,0.000473064,0.000473064,0.000473064
60,523.438,0.28271,0.54468,0.84211,0.99359,1,0.995,0.95634,0.27715,0.50945,0.83639,0.000462065,0.000462065,0.000462065
61,532.358,0.29446,0.53631,0.84855,0.99504,1,0.995,0.95709,0.28316,0.49911,0.84127,0.000451066,0.000451066,0.000451066
62,540.765,0.26878,0.50586,0.84382,0.99504,1,0.995,0.95709,0.28316,0.49911,0.84127,0.000440067,0.000440067,0.000440067
63,549.054,0.28595,0.48036,0.84515,0.99555,1,0.995,0.9675,0.28073,0.48803,0.8382,0.000429068,0.000429068,0.000429068
64,557.497,0.27162,0.47395,0.81312,0.99536,1,0.995,0.96531,0.28082,0.48573,0.83876,0.000418069,0.000418069,0.000418069
65,566.167,0.27561,0.50029,0.83416,0.99505,1,0.995,0.96827,0.27673,0.49292,0.83823,0.00040707,0.00040707,0.00040707
66,574.348,0.28051,0.50251,0.84197,0.99447,1,0.995,0.96112,0.27788,0.50628,0.8397,0.000396071,0.000396071,0.000396071
67,582.841,0.26467,0.47272,0.80482,0.99427,1,0.995,0.96,0.29717,0.51193,0.85144,0.000385073,0.000385073,0.000385073
68,591.697,0.278,0.47664,0.83298,0.99457,1,0.995,0.95358,0.29219,0.50302,0.84712,0.000374074,0.000374074,0.000374074
69,600.14,0.27813,0.462,0.8422,0.99494,1,0.995,0.96142,0.27987,0.49588,0.83887,0.000363075,0.000363075,0.000363075
70,608.636,0.25094,0.4561,0.83073,0.99494,1,0.995,0.96142,0.27987,0.49588,0.83887,0.000352076,0.000352076,0.000352076
71,617.182,0.28478,0.48182,0.82813,0.99517,1,0.995,0.96607,0.27687,0.48385,0.83803,0.000341077,0.000341077,0.000341077
72,625.713,0.26632,0.47804,0.83915,0.99538,1,0.995,0.9685,0.27457,0.47823,0.83749,0.000330078,0.000330078,0.000330078
73,634.455,0.27253,0.48482,0.82633,0.99514,1,0.995,0.96822,0.26924,0.47354,0.83717,0.000319079,0.000319079,0.000319079
74,642.711,0.25163,0.43232,0.82659,0.99523,1,0.995,0.9658,0.27404,0.47315,0.83943,0.00030808,0.00030808,0.00030808
75,651.156,0.24324,0.47723,0.8489,0.99542,1,0.995,0.96464,0.27582,0.46899,0.83707,0.000297081,0.000297081,0.000297081
76,659.431,0.24431,0.43791,0.80185,0.99548,1,0.995,0.9656,0.27487,0.46172,0.83569,0.000286083,0.000286083,0.000286083
77,667.653,0.25143,0.46113,0.83429,0.99526,1,0.995,0.97105,0.271,0.46253,0.83573,0.000275084,0.000275084,0.000275084
78,675.874,0.24112,0.42128,0.81323,0.99526,1,0.995,0.97105,0.271,0.46253,0.83573,0.000264085,0.000264085,0.000264085
79,683.937,0.25032,0.44519,0.8299,0.99519,1,0.995,0.96607,0.26466,0.46325,0.8348,0.000253086,0.000253086,0.000253086
80,692.244,0.24981,0.42064,0.82742,0.99531,1,0.995,0.96483,0.26095,0.46007,0.83496,0.000242087,0.000242087,0.000242087
81,700.615,0.23726,0.42757,0.82057,0.99525,1,0.995,0.96743,0.2639,0.4575,0.83591,0.000231088,0.000231088,0.000231088
82,708.952,0.24915,0.41742,0.805,0.99532,1,0.995,0.97086,0.26558,0.45237,0.83557,0.000220089,0.000220089,0.000220089
83,717.245,0.27487,0.42411,0.8356,0.99544,1,0.995,0.96645,0.27032,0.44942,0.83553,0.00020909,0.00020909,0.00020909
84,725.585,0.25773,0.41285,0.82082,0.99571,1,0.995,0.96756,0.27468,0.4468,0.83643,0.000198091,0.000198091,0.000198091
85,734.009,0.24541,0.45636,0.8302,0.99571,1,0.995,0.9646,0.27687,0.44282,0.83682,0.000187092,0.000187092,0.000187092
86,742.041,0.23133,0.41207,0.81734,0.99571,1,0.995,0.9646,0.27687,0.44282,0.83682,0.000176094,0.000176094,0.000176094
87,750.283,0.25591,0.43518,0.83099,0.99573,1,0.995,0.96495,0.27676,0.44161,0.83693,0.000165095,0.000165095,0.000165095
88,758.492,0.24714,0.41821,0.82706,0.99572,1,0.995,0.96374,0.27197,0.44119,0.83603,0.000154096,0.000154096,0.000154096
89,766.859,0.25508,0.44918,0.82069,0.99568,1,0.995,0.96423,0.26647,0.43573,0.83495,0.000143097,0.000143097,0.000143097
90,776.832,0.23491,0.42731,0.82783,0.99557,1,0.995,0.9683,0.26409,0.4302,0.83458,0.000132098,0.000132098,0.000132098
91,786.114,0.2338,0.53034,0.79211,0.99559,1,0.995,0.9667,0.26294,0.43061,0.83413,0.000121099,0.000121099,0.000121099
92,794.203,0.23823,0.51859,0.78926,0.99548,1,0.995,0.96388,0.26574,0.44836,0.83464,0.0001101,0.0001101,0.0001101
93,802.373,0.22848,0.51099,0.81319,0.99498,1,0.995,0.96348,0.26961,0.46846,0.83538,9.91012e-05,9.91012e-05,9.91012e-05
94,809.948,0.21996,0.52367,0.78364,0.99498,1,0.995,0.96348,0.26961,0.46846,0.83538,8.81023e-05,8.81023e-05,8.81023e-05
95,818.011,0.22108,0.52108,0.80759,0.9949,1,0.995,0.96645,0.27131,0.47808,0.83548,7.71034e-05,7.71034e-05,7.71034e-05
96,826.099,0.21936,0.53018,0.80995,0.99491,1,0.995,0.96924,0.27061,0.47766,0.83468,6.61045e-05,6.61045e-05,6.61045e-05
97,833.994,0.21923,0.51977,0.79246,0.99471,1,0.995,0.97107,0.26942,0.4723,0.83423,5.51056e-05,5.51056e-05,5.51056e-05
98,841.915,0.22627,0.5172,0.78058,0.99471,1,0.995,0.97028,0.26816,0.4611,0.83357,4.41067e-05,4.41067e-05,4.41067e-05
99,849.676,0.24355,0.51707,0.82328,0.99484,1,0.995,0.97008,0.26766,0.45058,0.8333,3.31078e-05,3.31078e-05,3.31078e-05
100,857.433,0.21411,0.49578,0.80951,0.9946,1,0.995,0.96809,0.26523,0.44534,0.83275,2.21089e-05,2.21089e-05,2.21089e-05
